[2019-11-05:08:28:14]	id_facture='22427' AND id_facture='22427' AND  migcms_deleted != 'y' 
[2019-11-05:08:28:18]	commande_id = '22427' AND commande_id = '22427' AND  migcms_deleted != 'y' 
[2019-11-05:08:29:36]	commande_id = '22427' AND commande_id = '22427' AND  migcms_deleted != 'y' 
[2019-11-05:08:29:41]	validation = 1 AND (type_facture IS NULL OR type_facture = '' OR (type_facture='Facture' AND numero_facture > 0) OR (type_facture='nc' AND numero_nc > 0))   AND (numero_nc IS NULL or numero_nc = 0) AND  migcms_deleted != 'y' 
[2019-11-05:08:29:48]	 (  LOWER(id) LIKE '%20191694%'  OR  LOWER(adresse_rue) LIKE '%20191694%'  OR  LOWER(adresse_numero) LIKE '%20191694%'  OR  LOWER(adresse_ville) LIKE '%20191694%'  OR  LOWER(lastname) LIKE '%20191694%'  OR  LOWER(firstname) LIKE '%20191694%'  OR  LOWER(city) LIKE '%20191694%'  OR  LOWER(email) LIKE '%20191694%'  OR  id_member_agence IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20191694%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  id_agence2 IN ( select id FROM members WHERE CONCAT(members.lastname," ",members.firstname) LIKE '%20191694%' AND type_member IN('Agence','Notaire') and lastname != '' ) OR  facture_civilite_id IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191694%' AND id_code_type='1' and visible='y' ) OR  LOWER(facture_nom) LIKE '%20191694%'  OR  LOWER(facture_prenom) LIKE '%20191694%'  OR  LOWER(facture_societe_tva) LIKE '%20191694%'  OR  LOWER(facture_city) LIKE '%20191694%'  OR  LOWER(facture_country) LIKE '%20191694%'  OR  LOWER(facture_email) LIKE '%20191694%'  OR  id_facture_liaison IN ( select id FROM intranet_factures WHERE fusion_facture LIKE '%20191694%' ) OR  id_code_cible IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191694%' AND id_code_type='2' and visible='y' ) OR  LOWER(code_promo) LIKE '%20191694%'  OR  LOWER(numero_facture) LIKE '%20191694%'  OR  LOWER(statut) LIKE '%20191694%'  OR  delai IN ( select id FROM handmade_certigreen_delais_facturation WHERE nom LIKE '%20191694%' ) OR  LOWER(delai_autre) LIKE '%20191694%'  OR  LOWER(reference) LIKE '%20191694%'  OR  envoyee_a IN ( select id FROM migcms_codes WHERE v1 LIKE '%20191694%' AND id_code_type='3' and visible='y' ) OR  LOWER(migcms_id) LIKE '%20191694%'  )  AND validation = 1 AND (type_facture IS NULL OR type_facture = '' OR (type_facture='Facture' AND numero_facture > 0) OR (type_facture='nc' AND numero_nc > 0))   AND (numero_nc IS NULL or numero_nc = 0) AND  migcms_deleted != 'y' 
[2019-11-05:08:31:08]	id_facture='22426' AND id_facture='22426' AND  migcms_deleted != 'y' 
[2019-11-05:08:31:16]	id_facture='22426' AND id_facture='22426' AND  migcms_deleted != 'y' 
[2019-11-05:08:31:19]	commande_id = '22426' AND commande_id = '22426' AND  migcms_deleted != 'y' 
[2019-11-05:08:31:32]	commande_id = '22426' AND commande_id = '22426' AND  migcms_deleted != 'y' 
[2019-11-05:08:31:59]	commande_id = '22426' AND commande_id = '22426' AND  migcms_deleted != 'y' 
